id,link,title
arrowtooth_flounder,modals/arrowtooth_flounder.html,Arrowtooth flounder
blue_king_crab,modals/blue_king_crabs.html,Blue king crab
chinook_salmon,modals/chinook_salmon.html,Chinook salmon
copepod,modals/copepods.html,Copepods
juvenile_forage_fish,modals/juvenile_forage_fish.html,Juvenile forage fish
krill,modals/krill.html,Krill
krill2,modals/krill2.html,Krill2
larval_pollock,modals/larval_pollock.html,Larval pollock
murre,modals/murres.html,Murres
n_fur_seal_pup,modals/n_fur_seal_pups.html,Northern fur seal pups
pacific_cod,modals/pacific_cod.html,Pacific cod
pollock,modals/pollock.html,Pollock
purple_urchin,modals/purple_urchins.html,Purple urchins
ribbon_seal,modals/ribbon_seals.html,Ribbon seals
snow_crab,modals/snow_crabs.html,Snow crabs
