icon,title,link
cod,Pacific Cod,modals_sitka/cod.html
dogfish,Dogfish,modals_sitka/dogfish.html
halibut,Halibut,modals_sitka/halibut.html
hatchery,Hatchery Salmon,modals_sitka/hatchery.html
jellyfish,Jellyfish,modals_sitka/jellyfish.html
kings,Chinook Salmon,modals_sitka/kings.html
lingcod,Ling Cod,modals_sitka/lingcod.html
octopus,Octopus,modals_sitka/octopus.html
sablefish,Sablefish,modals_sitka/sablefish.html
salmon,Salmon,modals_sitka/salmon.html
sea_cucumber,Sea Cucumbers,modals_sitka/sea_cucumber.html
shiner_perch,Shiner Perch,modals_sitka/shiner_perch.html
squid,Squid,modals_sitka/squid.html
winter_herring,Winter Herring,modals_sitka/winter_herring.html
